smiles,smiles,ratio,value
C[N+](C)(C)CC(=O)[O-],CC1=CC(=C(C=C1)C(C)C)O,0.40:0.60,55.35
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,0.11:0.89,-69
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.50:0.50,26
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.80:0.20,20.31
C(#N)[S-].[NH4+],C1CCC(=O)NCC1,0.25:0.75,-10.15
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC(C(=O)O)N)CN=C(N)N,0.14:0.86,25.07
C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,0.20:0.80,65.4
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCOCCO)O,0.50:0.50,14.09
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:4,-16.84
C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)C(C(=O)O)N,0.33:0.67,-34.55
C[N+](C)(C)CCO.[Cl-],C(COCCOCCO)O,0.20:0.80,0.5
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.30:0.70,46.59
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:1,78.93
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.86:0.14,221.63
C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C=CC(=O)O2,0.80:0.20,63.45
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,0.60:0.40,87.65
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:1.2,54.70
C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,0.40:0.60,-26.77
C[N+](C)(C)CCO.[Cl-],C(CCC(=O)O)CC(=O)O,0.50:0.50,85
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,0.17:0.83,-21
