smiles,smiles,ratio,temperature,value
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:3,313.15,1035.7
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1.5:1,318.15,1292.7
C[N+](C)(C)CC([O-])=O,CC(=O)CCC(O)=O,1:2,293.15,1161.9
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:3,358.15,1168.5
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCC(O)CO,1:2,293.15,1045.8
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,308.15,1233.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,6:1,303.15,1004.2
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:3,298.20,1092.1
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,318.15,1187.4
[Cl-].CC[NH+](CC)CCO,OCCO,1:3,338.15,1076.7
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:1,333.15,1137.9
[Cl-].CC[NH+](CC)CCO,OCCO,1:2.03,368.15,1056.2
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:6,318.20,1071.7
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,343.15,1164.8
[Cl-].C[N+](C)(C)CCO,OCc1occc1,1:4,323.15,1117.1
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCCO,1:2,333.15,982.2
[Cl-].C[N+](C)(C)CCO,OCCO,1:1.78,353.15,1087.0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,OC(C(O)C(O)=O)C(O)=O,1:1,296.15,1450.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:3,353.15,1091.0
[Cl-].C[N+](C)(C)CCO,Cc1ccc(O)cc1,1:2,318.15,1051.8
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:4,298.20,1089.3
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,303.15,962.7
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:3,303.20,1089.0
[Cl-].C[N+](C)(C)CCO,Cc1ccc(O)cc1,1:2,333.15,1039.8
[Cl-].CC[NH+](CC)CCO,OCCO,1:3,343.15,1074.0
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,323.15,1183.1
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,3:1,333.15,972.0
[Cl-].CC[NH+](CC)CCO,OCCO,1:4,343.15,1075.0
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,293.15,1262.0
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,318.15,1267.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:3,368.15,1201.3
C[N+](C)(C)CC([O-])=O,CC(=O)CCC(O)=O,1:2,343.15,1126.6
OC(=O)[C@@H]1CCCN1,CC(=O)CCC(O)=O,1:2,323.15,1178.7
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,358.15,1255.6
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,308.15,1272.5
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,348.15,1229.0
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OC(=O)C(O)=O,1:1,323.15,1241.0
[Cl-].C[N+](C)(C)CCO,OC(=O)CC(O)=O,1:2,323.15,1166.0
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,343.15,1210.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:2.03,338.15,1278.2
[Br-].CC[N+](CC)(CC)CC,CC(=O)CCC(O)=O,1:1,323.15,1154.6
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OC(=O)C(O)=O,1:1,338.15,1231.0
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,338.15,1256.0
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,328.15,1099.7
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:4,303.15,1138.0
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,1:2,298.20,1077.6
[Cl-].CC[NH+](CC)CCO,OCCO,1:2.03,313.15,1090.3
[Cl-].C[N+](C)(C)CCO,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1:1,303.15,1279.4
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:5,293.20,1089.8
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:5,313.15,1027.0
C[N+](C)(C)CC([O-])=O,CC(=O)CCC(O)=O,1:2,333.15,1133.6
[Cl-].CC[NH+](CC)CCO,OCCO,1:3,368.15,1054.6
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,8:1,333.15,946.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,338.15,1204.3
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,303.15,1187.9
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,9:1,353.15,932.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,1:1,323.15,1009.0
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OC(=O)C(O)=O,1:1,308.15,1252.0
C[N+](C)(C)CC([O-])=O,CC(O)C(O)=O,1:5,308.15,1197.2
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:3,338.15,1222.3
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,4:1,293.15,990.0
CC(N(C)C)C(O)=O,OC(=O)c1ccccc1Cl,1:2,348.15,1270.0
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,313.15,1254.0
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,303.15,1257.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,328.15,1211.4
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,Oc1ccccc1,1:3,313.15,1047.2
[Cl-].C[N+](C)(C)CCO,OCCO,1:1.78,343.15,1091.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CC(O)=O)C(O)=O,10:1,303.15,958.2
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CC(O)=O)C(O)=O,9:1,343.15,938.3
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:2,338.15,1152.2
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,313.15,1253.0
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,CC(O)C(O)=O,1:3,333.15,1092.1
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2.03,298.15,1192.0
C[N+](C)(C)CC([O-])=O,CC(=O)CCC(O)=O,1:2,308.15,1151.2
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,293.15,1194.3
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,303.15,1251.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,328.15,946.3
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,343.15,1226.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,7:1,303.15,991.1
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:2,303.15,1173.5
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:4,293.15,1044.5
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,7:1,353.15,957.0
[Cl-].C[N+](C)(C)CCO,CC(=O)CCC(O)=O,1:1,303.15,1134.8
