smiles,smiles,ratio,temperature,value
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:5.67,301.00,34.20
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:5.67,299.00,33.40
NCCCN,OCCCCO,1:0.09,318.15,39.70
NCCCN,OCCCCO,1:1.23,293.15,46.47
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:4,353.15,48.87
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:3,328.15,34.50
[Br-].CCC(O)=O,OCC(O)CO,1:2,298.15,51.70
CC(C)(C)NCCO.Cl,OCCO,1:3,298.15,47.51
[Cl-].C[N+](C)(C)CCO,NCCO,1:6,358.15,45.0869
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:7,343.00,47.46
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:2,333.15,47.89
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:9,299.00,33.90
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:9,309.00,32.80
CC(C)(C)NCCO.Cl,OCCO,1:2,313.15,49.63
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:3,298.16,23.32
[Cl-].C[N+](C)(C)CCO,OCCO,1:3,281.00,50.00
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,323.00,51.67
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:5,323.15,45.09
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:1,313.35,23.58
[Cl-].C[N+](C)(C)CCO,OC(=O)COCC(O)=O,1:1,323.15,63.00
NCCCN,OCCCCO,1:0.21,308.15,41.51
[Cl-].C[N+](C)(C)CCO,OCCO,1:4,293.00,49.00
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,1:2,313.15,35.90
[Cl-].C[N+](C)(C)CCO,NCCO,1:8,308.15,48.80
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,308.15,72.00
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:3,334.50,42.70
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:19,301.00,33.70
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:9,309.00,46.00
NCCCN,OCCCCO,1:0.44,298.15,44.23
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:7,303.00,50.99
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:5.67,307.00,33.50
CC(C)C1CCC(C)CC1O,CC1(C)C2CCC1(C)C(=O)C2,3:2,298.15,29.41
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:2,318.15,45.59
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:2,303.69,24.84
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:3,333.15,43.59
NCCCN,OCCCCO,1:2.47,298.15,46.14
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:19,309.00,31.30
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:4,323.15,43.96
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:19,305.00,45.70
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:19,319.00,42.10
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:19,293.00,63.70
[Cl-].C[N+](C)(C)CCO,OC(=O)COCC(O)=O,1:1,343.15,58.30
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,277.00,50.00
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:9,307.00,46.10
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,293.00,47.70
NCCCN,OCCCCO,1:0.27,303.15,42.51
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:9,305.00,46.20
CC(C)(C)NCCO.Cl,OCC(O)CO,1:2,308.15,57.63
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,289.00,48.30
[Cl-].C[N+](C)(C)CCO,OCCO,1:5.67,291.00,49.70
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,OC=O,1:1,298.15,37.20
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,328.15,41.82
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:19,298.00,62.80
NCCCN,OCCCCO,1:0.55,303.15,44.02
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:2,343.15,46.65
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:4,308.00,56.10
NCCCN,OCCCCO,1:7.40,293.15,45.86
[Cl-].C[N+](C)(C)CCO,OC(=O)C(O)=O,1:2,298.15,75.30
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,CN(CCO)CCO,1:7,353.15,40.87
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,348.15,64.00
NCCCN,OCCCCO,1:4.65,318.15,44.40
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,298.15,75.00
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,4:6,308.15,42.65
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:8,308.15,49.50
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:7,348.15,45.30
[Cl-].C[N+](C)(C)CCO,OCCO,1:6,298.15,46.90
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,5:5,328.15,41.01
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,10:1,323.15,36.50
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,303.00,61.29
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:5.67,303.00,34.00
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,3:7,338.15,38.38
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:7,358.15,44.40
[Br-].CC[N+](CC)(CC)CC,CCCC[NH3+],1:1,333.15,46.60
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:5,358.15,44.00
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2.33,308.00,47.10
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:5.67,301.00,38.30
[Cl-].C[N+](C)(C)CCO,OC(=O)Cc1ccccc1,2:1,298.15,41.86
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CC(O)=O)C(O)=O,11:1,353.15,35.20
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.33,283.00,48.70
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,8:1,343.15,37.10
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,328.15,68.00
NCCCN,OCCCCO,1:2.47,313.15,44.86
NCCCN,OCCCCO,1:0.04,318.15,38.98
[Cl-].C[N+](C)(C)CCO,OCCO,1:4,281.00,50.00
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:5,343.00,36.96
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:2,332.78,21.79
[Cl-].C[N+](C)(C)CCO,OCCO,1:9,279.00,49.30
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,CN(CCO)CCO,1:7,343.15,41.31
[Cl-].[Cl-].[Zn++],CC(N)=O,1:4,300.99,51.02
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:9,293.00,34.50
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCCOCCO,1:7,313.00,61.01
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,3:1,332.70,19.65
OCCOCCOCCOCCOCCO,NC(N)=S,4:1,328.00,42.69
NCCCN,OCCCCO,1:7.40,303.15,44.77
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,8:1,313.15,39.10
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:8,358.15,45.30
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:5.67,298.00,60.20
[Cl-].C[N+](C)(C)CCO,CC(O)C(O)=O,1:2,308.30,47.30
[Cl-].[Cl-].[Zn++],OCCO,1:4,298.01,56.56
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,3:1,328.11,20.22
[Cl-].[Cl-].[Zn++],CC(N)=O,1:4,298.01,51.60
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:6,348.15,44.90
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:3,309.00,47.10
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:2.5,353.15,42.07
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:19,313.00,60.50
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,10:1,333.15,35.20
NCCCN,OCCCCO,1:0.67,303.15,44.45
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,8:1,313.15,39.70
CC(C)(C)NCCO.Cl,OCC(O)CO,1:4,313.15,57.58
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,3:7,303.15,42.14
[Cl-].[Cl-].[Zn++],OCCO,1:4,305.98,53.59
NCCCN,OCCCCO,1:3.29,313.15,44.71
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:4,334.50,42.30
NCCCN,OCCCCO,1:0.27,308.15,42.12
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:10,328.15,42.71
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:19,307.00,45.60
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,CC(O)=O,1:1,298.15,345.50
NCCCN,OCCCCO,1:0.35,293.15,44.12
[Cl-].C[N+](C)(C)CCO,OC(=O)COCC(O)=O,1:1,313.15,65.18
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2.33,303.00,47.50
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:6,298.00,52.26
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:3,297.00,47.40
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:19,334.50,41.00
[Cl-].[Cl-].[Zn++],NC(N)=O,1:3.5,296.01,73.12
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:3,298.15,35.70
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:4,297.00,39.60
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:6,308.15,35.70
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.33,285.00,48.40
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,10:1,313.15,37.60
[Cl-].C[N+](C)(C)CCO,OC(=O)COCC(O)=O,1:1,333.15,60.73
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:10,318.15,43.66
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:6,333.00,49.66
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,338.15,43.00
[Cl-].C[N+](C)(C)CCO,OCCO,1:9,277.00,49.50
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:9,326.50,41.70
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:3,321.50,43.40
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCO,1:2,303.00,51.77
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:19,295.00,34.00
CC(C)(C)NCCO.Cl,OCC(O)CO,1:2,318.15,56.39
OCCOCCOCCOCCOCCO,CNC(C)=O,1:2,328.00,38.65
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:4,313.15,44.66
NCCCN,OCCCCO,1:1.53,293.15,46.75
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,6:1,343.15,38.10
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,358.15,62.00
CC(C)c1ccc(C)cc1O,CC1(C)C2CCC1(C)C(O)C2,7:3,298.15,31.75
[Cl-].C[N+](C)(C)CCO,NCCO,1:6,308.15,47.9073
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:9,305.00,36.50
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,318.15,42.91
