smiles,smiles,ratio,temperature,value,value,value
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,358.15,1.2269,2.26150077319828,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:3,353.15,0.976,1.5646660642520893,0.38021124171160603
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,333.15,1.24,2.4918517497214157,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,338.15,1.2379,2.7891574919114395,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,313.15,1.245,2.570554614307831,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,2:1,353.15,0.97,1.9604707775342989,-0.036212172654444715
CC(O)C(O)=O,C[N+](C)(C)CC([O-])=O,5:1,323.15,1.18544,1.7041505168397992,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,308.15,1.257,2.5533124889002417,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CC(=O)CCC(O)=O,1:3,343.15,0.99891,,0.37657695705651195
Cl.CN(C)C,CC(=O)CCC(O)=O,1:3,338.15,1.08183,,0.8645110810583919
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCCO,1:2,293.15,1.0078,2.36078268987328,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,298.15,1.255,3.1329317492149147,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:4,353.15,0.991,1.3979400086720377,0.42160392686983106
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,1:1,353.15,1.1037,1.161667412437736,
[Cl-].CC(=O)OCC[N+](C)(C)C,CC(=O)CCC(O)=O,1:3,303.15,1.13687,1.933892035764211,-0.06550154875643228
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,298.15,1.272,2.8144740092854286,
CC(O)C(O)=O,C[N+](C)(C)CC([O-])=O,5:1,318.15,1.18937,1.816241299991783,
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,Oc1ccccc1,1:3,328.15,1.03737,1.6344772701607315,0.07114529045108281
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,308.15,1.218,2.7603169129063683,
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCCO,1:2,308.15,0.9983,2.010299956639812,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:4,323.15,1.01,2.0633333589517497,-0.06398920428479041
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,293.15,1.275,3.582487218423633,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:2,328.15,0.97085,1.469822015978163,0.4578818967339923
